question	query
who is working in carbon?	SELECT ?name ?twitter WHERE { { ?entity a <http://schema.org/Organization> . ?entity <http://schema.org/areaserved> <https://refidao.com/urn:impactarea:Carbon> . ?entity <http://schema.org/name> ?name . OPTIONAL { ?entity <http://schema.org/twitter> ?twitter . } } UNION { ?entity a <http://schema.org/Person> . ?entity <http://schema.org/knowsabout> ?knowledge . FILTER(CONTAINS(LCASE(?knowledge), "carbon")) . ?entity <http://schema.org/name> ?name . OPTIONAL { ?entity <http://schema.org/twitter> ?twitter . } } FILTER (!STRSTARTS(STR(?entity), "_:")) }
who is working in education?	SELECT ?name ?twitter WHERE { { ?entity a <http://schema.org/Organization> . ?entity <http://schema.org/areaserved> <https://refidao.com/urn:impactarea:Education> . ?entity <http://schema.org/name> ?name . OPTIONAL { ?entity <http://schema.org/twitter> ?twitter . } } UNION { ?entity a <http://schema.org/Person> . ?entity <http://schema.org/knowsabout> ?knowledge . FILTER(CONTAINS(LCASE(?knowledge), "education")) . ?entity <http://schema.org/name> ?name . OPTIONAL { ?entity <http://schema.org/twitter> ?twitter . } } FILTER (!STRSTARTS(STR(?entity), "_:")) }
what organizations are working in renewable energy?	SELECT ?name ?twitter WHERE { ?entity a <http://schema.org/Organization> . ?entity <http://schema.org/areaserved> <https://refidao.com/urn:impactarea:Energy> . ?entity <http://schema.org/name> ?name . OPTIONAL { ?entity <http://schema.org/twitter> ?twitter . } FILTER (!STRSTARTS(STR(?entity), "_:")) }
what organizations are working in web3 Social?	SELECT ?name ?twitter WHERE { ?entity a <http://schema.org/Organization> . ?entity <http://schema.org/areaserved> <https://refidao.com/urn:impactarea:Social> . ?entity <http://schema.org/name> ?name . OPTIONAL { ?entity <http://schema.org/twitter> ?twitter . } FILTER (!STRSTARTS(STR(?entity), "_:")) }
what organizations are working in PoliticsActivism?	SELECT ?name ?twitter WHERE { ?entity a <http://schema.org/Organization> . ?entity <http://schema.org/areaserved> <https://refidao.com/urn:impactarea:PoliticsActivism> . ?entity <http://schema.org/name> ?name . OPTIONAL { ?entity <http://schema.org/twitter> ?twitter . } FILTER (!STRSTARTS(STR(?entity), "_:")) }
what organizations are working in nature solutions?	SELECT ?name ?twitter WHERE { ?entity a <http://schema.org/Organization> . ?entity <http://schema.org/areaserved> <https://refidao.com/urn:impactarea:Nature> . ?entity <http://schema.org/name> ?name . OPTIONAL { ?entity <http://schema.org/twitter> ?twitter . } FILTER (!STRSTARTS(STR(?entity), "_:")) }
what organizations are working in innovation?	SELECT ?name ?twitter WHERE { ?entity a <http://schema.org/Organization> . ?entity <http://schema.org/areaserved> <https://refidao.com/urn:impactarea:Innovation> . ?entity <http://schema.org/name> ?name . OPTIONAL { ?entity <http://schema.org/twitter> ?twitter . } FILTER (!STRSTARTS(STR(?entity), "_:")) }
what organizations are working in industry?	SELECT ?name ?twitter WHERE { ?entity a <http://schema.org/Organization> . ?entity <http://schema.org/areaserved> <https://refidao.com/urn:impactarea:Industry> . ?entity <http://schema.org/name> ?name . OPTIONAL { ?entity <http://schema.org/twitter> ?twitter . } FILTER (!STRSTARTS(STR(?entity), "_:")) }
what organizations are working in health?	SELECT ?name ?twitter WHERE { ?entity a <http://schema.org/Organization> . ?entity <http://schema.org/areaserved> <https://refidao.com/urn:impactarea:Health> . ?entity <http://schema.org/name> ?name . OPTIONAL { ?entity <http://schema.org/twitter> ?twitter . } FILTER (!STRSTARTS(STR(?entity), "_:")) }
what organizations are working in fundraising or investment?	SELECT ?name ?twitter WHERE { ?entity a <http://schema.org/Organization> . ?entity <http://schema.org/areaserved> <https://refidao.com/urn:impactarea:FundraisingInvestment> . ?entity <http://schema.org/name> ?name . OPTIONAL { ?entity <http://schema.org/twitter> ?twitter . } FILTER (!STRSTARTS(STR(?entity), "_:")) }
what organizations are working in food or agriculture?	SELECT ?name ?twitter WHERE { ?entity a <http://schema.org/Organization> . ?entity <http://schema.org/areaserved> <https://refidao.com/urn:impactarea:FoodAgriculture> . ?entity <http://schema.org/name> ?name . OPTIONAL { ?entity <http://schema.org/twitter> ?twitter . } FILTER (!STRSTARTS(STR(?entity), "_:")) }
what organizations are working in infrastructure?	SELECT ?name ?twitter WHERE { ?entity a <http://schema.org/Organization> . ?entity <http://schema.org/areaserved> <https://refidao.com/urn:impactarea:DigitalInfrastructure> . ?entity <http://schema.org/name> ?name . OPTIONAL { ?entity <http://schema.org/twitter> ?twitter . } FILTER (!STRSTARTS(STR(?entity), "_:")) }
what organizations are working in carbon?	SELECT ?name ?twitter WHERE { ?entity a <http://schema.org/Organization> . ?entity <http://schema.org/areaserved> <https://refidao.com/urn:impactarea:Carbon> . ?entity <http://schema.org/name> ?name . OPTIONAL { ?entity <http://schema.org/twitter> ?twitter . } FILTER (!STRSTARTS(STR(?entity), "_:")) }
what organizations are working in education?	SELECT ?name ?twitter WHERE { ?entity a <http://schema.org/Organization> . ?entity <http://schema.org/areaserved> <https://refidao.com/urn:impactarea:Education> . ?entity <http://schema.org/name> ?name . OPTIONAL { ?entity <http://schema.org/twitter> ?twitter . } FILTER (!STRSTARTS(STR(?entity), "_:")) }
